Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
Less than 1 year,Kotlin,Flask,Other (please specify),Git,No,Yes,No,Front-End Developer,No,Yes
More than 5 years,TypeScript,Metasploit,PostgreSQL,Git,No,No,No,Other (please specify),No,No
More than 5 years,TypeScript,Apache Spark,MongoDB,Jenkins,No,No,No,Full-Stack Developer,Yes,Yes
Less than 1 year,C#,Express.js,Microsoft SQL Server,Google Cloud Platform,No,No,Yes,AI Researcher,No,No
1-3 years,C++,TensorFlow,OracleDB,Git,No,Yes,Yes,Systems Analyst,No,Yes
3-5 years,Ruby,GTK,Microsoft SQL Server,Nginx,Yes,No,Yes,Network Engineer,No,No
3-5 years,Dart,Kali Linux,Other (please specify),Ansible,Yes,No,Yes,Full-Stack Developer,Yes,Yes
More than 5 years,Java,GTK,Other (please specify),Apache,Yes,No,Yes,Full-Stack Developer,No,No
1-3 years,C#,.NET Core,MongoDB,Ansible,No,No,Yes,Cybersecurity Analyst,No,No
1-3 years,C++,Svelte,MongoDB,Git,Yes,No,No,Software Engineer,No,Yes
1-3 years,Ruby,Metasploit,PostgreSQL,DigitalOcean,Yes,Yes,Yes,IT Support Specialist,No,No
None,Dart,Snort,MongoDB,Git,No,No,Yes,Other (please specify),No,No
Less than 1 year,C,Xamarin,Microsoft SQL Server,Ansible,No,No,Yes,Mobile Developer,No,No
1-3 years,C++,Dask,MongoDB,Azure,Yes,No,Yes,Project Manager,No,No
Less than 1 year,Other (please specify),Express.js,PostgreSQL,Ansible,Yes,Yes,Yes,Cloud Engineer,No,No
Less than 1 year,TypeScript,Keras,MongoDB,Other (please specify),No,Yes,No,Systems Analyst,No,Yes
More than 5 years,Kotlin,Metasploit,Other (please specify),Azure,Yes,Yes,Yes,Robotics Engineer,Yes,Yes
3-5 years,C,GTK,MongoDB,Azure,Yes,No,No,Network Engineer,Yes,No
More than 5 years,Ruby,.NET Core,Microsoft SQL Server,Nginx,No,No,Yes,Robotics Engineer,No,Yes
None,TypeScript,SwiftUI,Other (please specify),Git,No,Yes,Yes,Software Engineer,No,No
1-3 years,JavaScript,Vue.js,SQLite,Kubernetes,No,Yes,No,Back-End Developer,No,Yes
None,Rust,Apache Spark,SQLite,Apache,Yes,Yes,No,Data Scientist,No,No
1-3 years,Java,Kotlin Multiplatform Mobile (KMM),Redis,Travis CI,No,No,No,Front-End Developer,No,Yes
3-5 years,None,React,MongoDB,GitLab CI/CD,Yes,Yes,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,Dart,Xamarin,MongoDB,Google Cloud Platform,Yes,No,Yes,Machine Learning Engineer,No,Yes
3-5 years,Kotlin,Nestjs,Microsoft SQL Server,Terraform,No,Yes,Yes,Cloud Engineer,No,Yes
3-5 years,Swift,PyTorch,CassandraDB,Apache,Yes,No,No,Full-Stack Developer,No,Yes
3-5 years,PHP,Wireshark,Redis,Travis CI,Yes,Yes,Yes,Back-End Developer,Yes,No
More than 5 years,Java,Vue.js,MySQL,Other (please specify),No,No,No,DevOps Engineer,Yes,Yes
1-3 years,Kotlin,Dask,SQLite,CircleCI,No,No,No,Systems Analyst,Yes,Yes
More than 5 years,C,Electron,Microsoft SQL Server,CircleCI,No,Yes,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,Rust,JavaFX,Redis,Other (please specify),Yes,No,Yes,Machine Learning Engineer,No,Yes
3-5 years,PHP,Kali Linux,Other (please specify),Terraform,Yes,No,Yes,Product Manager,No,No
None,JavaScript,Flutter,Microsoft SQL Server,Ansible,No,No,No,Machine Learning Engineer,No,Yes
None,TypeScript,Angular,OracleDB,Ansible,No,No,No,DevOps Engineer,No,No
None,Ruby,Pandas,OracleDB,Other (please specify),No,No,No,Back-End Developer,No,No
Less than 1 year,C#,Next.js,Other (please specify),Jenkins,No,Yes,No,Cybersecurity Analyst,Yes,Yes
None,Go,Keras,SQLite,Other (please specify),Yes,No,No,Cybersecurity Analyst,No,No
3-5 years,Other (please specify),TensorFlow,PostgreSQL,DigitalOcean,Yes,No,No,IT Support Specialist,Yes,No
Less than 1 year,Rust,Flask,Redis,Jenkins,No,Yes,No,Machine Learning Engineer,No,No
3-5 years,C++,Flutter,SQLite,Nginx,Yes,No,No,Data Scientist,No,Yes
3-5 years,Go,Numpy,SQLite,GitLab CI/CD,Yes,Yes,No,Machine Learning Engineer,No,Yes
More than 5 years,Rust,OpenVAS,OracleDB,GitLab CI/CD,No,No,No,DevOps Engineer,Yes,Yes
3-5 years,Other (please specify),PyTorch,Redis,DigitalOcean,Yes,No,Yes,Network Engineer,No,Yes
Less than 1 year,C#,GTK,Redis,Docker,Yes,No,Yes,Database Administrator,No,No
1-3 years,Ruby,Pandas,Microsoft SQL Server,Ansible,No,Yes,No,Cloud Engineer,No,Yes
1-3 years,C++,Qt,Microsoft SQL Server,Kubernetes,Yes,Yes,No,Robotics Engineer,No,Yes
More than 5 years,Swift,JavaFX,CassandraDB,Terraform,Yes,No,No,AI Researcher,No,Yes
Less than 1 year,Dart,Flutter,MongoDB,Azure,No,Yes,No,Back-End Developer,No,Yes
None,Other (please specify),Unity,Other (please specify),Google Cloud Platform,Yes,Yes,Yes,Network Engineer,Yes,Yes
3-5 years,C++,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Ansible,No,No,Yes,Cloud Engineer,No,No
Less than 1 year,C#,Flask,SQLite,Terraform,Yes,Yes,No,DevOps Engineer,No,Yes
None,Other (please specify),Flask,SQLite,Other (please specify),Yes,Yes,Yes,AI Researcher,No,No
1-3 years,Python,Snort,SQLite,Azure,No,Yes,No,Mobile Developer,No,No
Less than 1 year,None,Vue.js,MySQL,Docker,No,No,No,Database Administrator,No,No
3-5 years,C#,OpenVAS,OracleDB,Git,Yes,No,Yes,Mobile Developer,Yes,No
3-5 years,TypeScript,SwiftUI,SQLite,DigitalOcean,No,No,No,Data Scientist,Yes,No
3-5 years,Dart,Pandas,PostgreSQL,Nginx,No,Yes,No,Data Engineer,Yes,Yes
None,C,Vue.js,MySQL,DigitalOcean,No,No,No,Robotics Engineer,Yes,No
1-3 years,C#,Unity,Redis,Ansible,Yes,No,Yes,Database Administrator,No,Yes
None,Kotlin,Scikit-Learn,OracleDB,CircleCI,No,Yes,Yes,Robotics Engineer,Yes,Yes
Less than 1 year,Rust,Nestjs,SQLite,CircleCI,Yes,No,No,Robotics Engineer,No,No
None,C#,Kali Linux,MySQL,AWS,No,Yes,No,Game Developer,No,No
More than 5 years,Swift,Apache Spark,PostgreSQL,Git,No,Yes,No,Network Engineer,Yes,Yes
None,None,Wireshark,OracleDB,Ansible,Yes,No,Yes,IT Support Specialist,Yes,Yes
1-3 years,Other (please specify),Burp Suite,MySQL,CircleCI,Yes,No,Yes,Project Manager,Yes,Yes
Less than 1 year,Dart,Electron,SQLite,Git,No,Yes,No,Data Scientist,Yes,Yes
3-5 years,PHP,Flutter,Other (please specify),Google Cloud Platform,No,No,No,DevOps Engineer,Yes,Yes
1-3 years,Rust,Unity,MongoDB,CircleCI,Yes,Yes,Yes,Back-End Developer,Yes,No
1-3 years,C++,TensorFlow,MongoDB,AWS,Yes,Yes,No,Robotics Engineer,Yes,Yes
None,Rust,Metasploit,SQLite,Terraform,No,Yes,No,Network Engineer,No,Yes
None,C#,GTK,MongoDB,Jenkins,No,Yes,No,Cloud Engineer,No,Yes
More than 5 years,None,React,Microsoft SQL Server,Nginx,Yes,No,Yes,Game Developer,No,Yes
None,JavaScript,SwiftUI,OracleDB,Google Cloud Platform,No,Yes,Yes,Data Scientist,Yes,No
3-5 years,C#,Unreal Engine,OracleDB,GitLab CI/CD,No,No,Yes,Back-End Developer,No,No
More than 5 years,C++,Xamarin,MongoDB,DigitalOcean,Yes,No,Yes,Game Developer,No,Yes
3-5 years,Python,Flutter,PostgreSQL,GitLab CI/CD,Yes,No,Yes,Project Manager,Yes,No
3-5 years,Swift,Pandas,MySQL,Other (please specify),Yes,Yes,Yes,Other (please specify),Yes,No
Less than 1 year,C,.NET Core,OracleDB,Jenkins,No,Yes,Yes,Project Manager,No,No
1-3 years,PHP,OpenVAS,SQLite,Google Cloud Platform,Yes,Yes,No,Product Manager,Yes,Yes
3-5 years,Rust,Burp Suite,Other (please specify),Terraform,Yes,No,Yes,Systems Analyst,Yes,No
More than 5 years,PHP,Apache Spark,OracleDB,Travis CI,No,No,No,Cloud Engineer,Yes,No
More than 5 years,C,Godot,SQLite,CircleCI,No,Yes,Yes,Front-End Developer,No,No
More than 5 years,Dart,Ruby on Rails,Other (please specify),Other (please specify),No,No,No,Front-End Developer,Yes,Yes
Less than 1 year,Java,Angular,Microsoft SQL Server,Google Cloud Platform,Yes,No,No,AI Researcher,No,Yes
1-3 years,JavaScript,Pandas,MySQL,Other (please specify),No,Yes,Yes,DevOps Engineer,Yes,No
1-3 years,Kotlin,Qt,PostgreSQL,Terraform,Yes,No,Yes,Software Engineer,Yes,Yes
Less than 1 year,JavaScript,Scikit-Learn,Other (please specify),Azure,Yes,No,Yes,Database Administrator,No,No
Less than 1 year,Other (please specify),Pandas,OracleDB,DigitalOcean,Yes,No,Yes,Robotics Engineer,No,Yes
Less than 1 year,Rust,TensorFlow,MongoDB,Terraform,No,No,Yes,Data Engineer,No,No
More than 5 years,Swift,Flutter,CassandraDB,AWS,Yes,Yes,Yes,Project Manager,Yes,Yes
None,Rust,Next.js,PostgreSQL,Other (please specify),No,No,Yes,IT Support Specialist,Yes,No
1-3 years,Go,Kotlin Multiplatform Mobile (KMM),Other (please specify),Ansible,No,No,No,DevOps Engineer,Yes,No
Less than 1 year,Dart,Angular,MongoDB,Terraform,No,No,No,Software Engineer,No,No
3-5 years,Ruby,TensorFlow,Other (please specify),Docker,No,Yes,No,Other (please specify),Yes,Yes
More than 5 years,PHP,Svelte,MongoDB,Git,Yes,No,Yes,AI Researcher,No,Yes
None,Dart,Godot,OracleDB,GitLab CI/CD,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
3-5 years,Ruby,Qt,MongoDB,Kubernetes,No,No,Yes,Back-End Developer,Yes,Yes
None,Ruby,TensorFlow,MySQL,Azure,No,No,Yes,Network Engineer,Yes,Yes
More than 5 years,TypeScript,GTK,PostgreSQL,Kubernetes,Yes,Yes,No,Data Scientist,Yes,No
None,C++,Xamarin,Microsoft SQL Server,Git,No,Yes,Yes,Network Engineer,No,No
3-5 years,JavaScript,Qt,Other (please specify),Apache,Yes,No,Yes,Game Developer,Yes,Yes
More than 5 years,PHP,JavaFX,MySQL,DigitalOcean,Yes,No,No,Machine Learning Engineer,Yes,No
More than 5 years,Go,Apache Spark,SQLite,Google Cloud Platform,Yes,Yes,Yes,Network Engineer,No,No
3-5 years,Python,Metasploit,CassandraDB,DigitalOcean,Yes,Yes,Yes,Database Administrator,Yes,No
Less than 1 year,TypeScript,Apache Spark,SQLite,Ansible,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
1-3 years,Ruby,Electron,Other (please specify),GitLab CI/CD,Yes,No,Yes,Product Manager,No,Yes
1-3 years,Ruby,Unity,OracleDB,Kubernetes,No,No,Yes,Mobile Developer,No,Yes
More than 5 years,Ruby,OpenVAS,Microsoft SQL Server,Travis CI,No,No,No,DevOps Engineer,Yes,Yes
Less than 1 year,Java,Angular,Redis,GitLab CI/CD,No,No,Yes,Project Manager,Yes,No
3-5 years,Ruby,Next.js,SQLite,Google Cloud Platform,No,No,No,Other (please specify),No,Yes
3-5 years,C++,Ruby on Rails,Other (please specify),Nginx,Yes,No,Yes,Robotics Engineer,Yes,Yes
3-5 years,C++,Dask,OracleDB,AWS,Yes,Yes,Yes,Software Engineer,No,No
1-3 years,C,Scikit-Learn,Redis,Apache,No,Yes,No,Front-End Developer,Yes,No
Less than 1 year,Python,SwiftUI,MySQL,Travis CI,No,No,No,Back-End Developer,No,Yes
1-3 years,Go,Apache Spark,Other (please specify),Ansible,No,Yes,Yes,IT Support Specialist,No,No
1-3 years,C#,Metasploit,PostgreSQL,Other (please specify),No,Yes,Yes,Machine Learning Engineer,No,Yes
None,JavaScript,React Native,MongoDB,Ansible,No,No,No,Machine Learning Engineer,Yes,Yes
More than 5 years,Rust,Ruby on Rails,PostgreSQL,CircleCI,No,Yes,No,Other (please specify),Yes,Yes
Less than 1 year,TypeScript,Godot,CassandraDB,Kubernetes,No,No,Yes,Full-Stack Developer,No,Yes
1-3 years,Other (please specify),Scikit-Learn,SQLite,GitLab CI/CD,No,No,No,Project Manager,Yes,Yes
3-5 years,Python,React,Redis,CircleCI,Yes,Yes,No,AI Researcher,Yes,Yes
Less than 1 year,Go,Kotlin Multiplatform Mobile (KMM),MySQL,DigitalOcean,No,Yes,No,Database Administrator,Yes,Yes
3-5 years,None,Godot,Microsoft SQL Server,Docker,Yes,No,Yes,Software Engineer,Yes,Yes
None,Go,Ruby on Rails,Other (please specify),Jenkins,No,No,Yes,Game Developer,No,No
1-3 years,Swift,Svelte,MySQL,Terraform,No,No,No,Game Developer,Yes,Yes
1-3 years,C#,Numpy,Other (please specify),Jenkins,No,No,No,Data Scientist,Yes,Yes
1-3 years,Ruby,Next.js,SQLite,CircleCI,No,Yes,Yes,Data Scientist,Yes,No
Less than 1 year,Go,GTK,MySQL,CircleCI,No,No,No,Cloud Engineer,Yes,Yes
More than 5 years,Ruby,Flutter,MongoDB,AWS,Yes,No,Yes,Network Engineer,No,No
More than 5 years,Other (please specify),CryEngine,Other (please specify),GitLab CI/CD,No,No,No,Robotics Engineer,Yes,No
More than 5 years,PHP,Unity,OracleDB,Apache,No,Yes,Yes,Robotics Engineer,Yes,No
Less than 1 year,None,Electron,MongoDB,CircleCI,Yes,Yes,No,Other (please specify),No,No
Less than 1 year,Rust,React,Microsoft SQL Server,Kubernetes,No,Yes,Yes,Other (please specify),Yes,No
More than 5 years,JavaScript,Scikit-Learn,Other (please specify),AWS,Yes,No,No,Game Developer,Yes,Yes
More than 5 years,Ruby,JavaFX,CassandraDB,Terraform,Yes,No,Yes,Back-End Developer,Yes,No
Less than 1 year,Python,OpenVAS,SQLite,GitLab CI/CD,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
None,Python,Electron,Redis,Other (please specify),Yes,Yes,Yes,Other (please specify),Yes,Yes
1-3 years,Python,Xamarin,Redis,Azure,No,No,No,Full-Stack Developer,No,No
None,PHP,Metasploit,Other (please specify),Azure,Yes,No,No,Mobile Developer,Yes,No
Less than 1 year,JavaScript,Apache Spark,MySQL,AWS,No,No,Yes,Systems Analyst,Yes,Yes
None,Rust,Ruby on Rails,Other (please specify),Git,Yes,Yes,No,AI Researcher,Yes,No
More than 5 years,Swift,Svelte,Microsoft SQL Server,Travis CI,No,Yes,Yes,Other (please specify),No,No
1-3 years,Go,Unity,SQLite,AWS,No,No,No,Robotics Engineer,No,No
3-5 years,Kotlin,Apache Spark,CassandraDB,Other (please specify),No,Yes,No,Project Manager,No,No
3-5 years,PHP,Next.js,Microsoft SQL Server,Other (please specify),No,Yes,Yes,Project Manager,No,Yes
3-5 years,Other (please specify),Unreal Engine,CassandraDB,Jenkins,Yes,No,No,Database Administrator,Yes,Yes
None,C,Svelte,CassandraDB,Apache,Yes,No,No,Data Scientist,No,No
Less than 1 year,Python,React Native,Other (please specify),DigitalOcean,Yes,Yes,No,Product Manager,No,Yes
1-3 years,Other (please specify),Xamarin,MongoDB,CircleCI,Yes,Yes,No,Software Engineer,Yes,No
1-3 years,PHP,Qt,MongoDB,Google Cloud Platform,No,Yes,Yes,Software Engineer,No,No
None,JavaScript,Pandas,PostgreSQL,Terraform,Yes,No,No,IT Support Specialist,Yes,Yes
None,Ruby,Kotlin Multiplatform Mobile (KMM),MySQL,Other (please specify),No,No,No,Robotics Engineer,Yes,No
None,Kotlin,Django,MySQL,Jenkins,Yes,No,No,Game Developer,No,Yes
Less than 1 year,Java,Ruby on Rails,MongoDB,Docker,No,No,No,Game Developer,Yes,Yes
Less than 1 year,Dart,OpenVAS,Microsoft SQL Server,Git,Yes,No,No,Software Engineer,No,Yes
3-5 years,None,Express.js,MySQL,GitLab CI/CD,No,No,No,Full-Stack Developer,Yes,No
1-3 years,Kotlin,Wireshark,MySQL,Nginx,No,Yes,Yes,Front-End Developer,Yes,No
1-3 years,JavaScript,Snort,Redis,Git,Yes,Yes,Yes,Other (please specify),No,Yes
Less than 1 year,PHP,Numpy,MongoDB,Git,Yes,Yes,No,IT Support Specialist,No,Yes
1-3 years,C#,Svelte,Redis,Docker,No,No,No,Other (please specify),No,Yes
Less than 1 year,Java,Next.js,MongoDB,AWS,No,Yes,Yes,Front-End Developer,No,Yes
1-3 years,PHP,Apache Spark,MySQL,Google Cloud Platform,Yes,No,No,Other (please specify),No,No
3-5 years,PHP,JavaFX,MySQL,Docker,No,No,No,Data Scientist,No,No
1-3 years,Other (please specify),GTK,MySQL,Other (please specify),Yes,No,No,DevOps Engineer,No,Yes
None,Swift,Angular,MySQL,Azure,No,No,No,Data Scientist,No,No
1-3 years,TypeScript,Electron,CassandraDB,Ansible,No,Yes,Yes,Front-End Developer,Yes,Yes
1-3 years,Other (please specify),Nestjs,CassandraDB,GitLab CI/CD,Yes,No,No,DevOps Engineer,No,No
3-5 years,C#,WPF,Microsoft SQL Server,CircleCI,No,No,Yes,DevOps Engineer,Yes,Yes
3-5 years,None,Unreal Engine,Redis,AWS,No,Yes,No,Data Scientist,Yes,No
3-5 years,C++,Electron,MySQL,Apache,No,No,Yes,Other (please specify),No,No
1-3 years,Other (please specify),Xamarin,CassandraDB,Terraform,Yes,Yes,Yes,Machine Learning Engineer,Yes,No
More than 5 years,JavaScript,Numpy,OracleDB,Azure,Yes,Yes,Yes,Game Developer,Yes,No
Less than 1 year,Go,OpenVAS,MongoDB,Git,No,Yes,Yes,Cloud Engineer,No,No
1-3 years,Kotlin,Flutter,Other (please specify),Jenkins,Yes,No,No,Product Manager,Yes,No
More than 5 years,JavaScript,Snort,MongoDB,Nginx,No,No,Yes,Mobile Developer,No,Yes
3-5 years,Other (please specify),Wireshark,CassandraDB,Google Cloud Platform,No,Yes,No,Back-End Developer,No,Yes
3-5 years,PHP,Scikit-Learn,Other (please specify),Other (please specify),Yes,No,No,Mobile Developer,Yes,Yes
1-3 years,JavaScript,Apache Spark,Other (please specify),Docker,No,No,Yes,Product Manager,No,Yes
None,Swift,PyTorch,SQLite,Nginx,No,No,Yes,Other (please specify),No,Yes
More than 5 years,C#,Next.js,OracleDB,DigitalOcean,No,Yes,Yes,Systems Analyst,Yes,Yes
Less than 1 year,TypeScript,.NET Core,MongoDB,Other (please specify),No,Yes,No,DevOps Engineer,No,Yes
3-5 years,PHP,TensorFlow,CassandraDB,Git,No,Yes,No,AI Researcher,Yes,No
1-3 years,C#,WPF,Microsoft SQL Server,GitLab CI/CD,No,No,Yes,Game Developer,No,Yes
More than 5 years,Other (please specify),Ruby on Rails,Microsoft SQL Server,Ansible,Yes,Yes,Yes,Systems Analyst,Yes,Yes
More than 5 years,Java,TensorFlow,MySQL,Jenkins,No,Yes,Yes,Cloud Engineer,Yes,No
Less than 1 year,Swift,Svelte,Microsoft SQL Server,Jenkins,No,Yes,Yes,Data Scientist,No,No
Less than 1 year,PHP,Numpy,MongoDB,Nginx,Yes,No,No,DevOps Engineer,No,No
1-3 years,Dart,Apache Spark,SQLite,Apache,Yes,Yes,No,Project Manager,No,Yes
Less than 1 year,Kotlin,Django,PostgreSQL,AWS,No,Yes,No,Game Developer,Yes,Yes
None,C#,Pandas,Other (please specify),Other (please specify),No,No,No,Software Engineer,Yes,Yes
3-5 years,JavaScript,Numpy,SQLite,Ansible,Yes,No,No,Cybersecurity Analyst,No,No
Less than 1 year,JavaScript,Apache Spark,PostgreSQL,Git,Yes,Yes,No,Machine Learning Engineer,No,Yes
None,Ruby,Scikit-Learn,OracleDB,Ansible,Yes,Yes,No,Data Engineer,Yes,No
More than 5 years,JavaScript,PyTorch,Other (please specify),Azure,Yes,No,Yes,Full-Stack Developer,No,No
Less than 1 year,Go,SwiftUI,Redis,DigitalOcean,Yes,Yes,No,AI Researcher,Yes,No
None,C++,JavaFX,MongoDB,Google Cloud Platform,No,Yes,No,Database Administrator,No,Yes
Less than 1 year,C++,Qt,SQLite,Terraform,Yes,Yes,No,Data Engineer,Yes,No
3-5 years,JavaScript,Keras,MongoDB,Other (please specify),No,Yes,No,Full-Stack Developer,Yes,Yes
1-3 years,Python,Kali Linux,Redis,Travis CI,Yes,No,Yes,Robotics Engineer,Yes,No
None,Go,Unreal Engine,Microsoft SQL Server,AWS,Yes,No,Yes,Robotics Engineer,No,Yes
None,Java,Ruby on Rails,PostgreSQL,Jenkins,Yes,Yes,Yes,AI Researcher,Yes,Yes
Less than 1 year,Rust,PyTorch,PostgreSQL,AWS,Yes,Yes,No,Full-Stack Developer,No,No
More than 5 years,Dart,Unreal Engine,CassandraDB,GitLab CI/CD,No,Yes,Yes,Project Manager,No,No
More than 5 years,Swift,Burp Suite,MySQL,AWS,Yes,Yes,No,Back-End Developer,No,Yes
1-3 years,TypeScript,Express.js,Microsoft SQL Server,Terraform,No,Yes,Yes,Back-End Developer,No,Yes
None,C,JavaFX,Other (please specify),Jenkins,Yes,Yes,Yes,AI Researcher,No,No
3-5 years,C#,Vue.js,MongoDB,Docker,No,Yes,No,Back-End Developer,Yes,No
Less than 1 year,C#,WPF,Microsoft SQL Server,DigitalOcean,Yes,No,No,Game Developer,No,No
3-5 years,Dart,TensorFlow,MySQL,Nginx,Yes,Yes,No,Product Manager,No,No
3-5 years,Java,Burp Suite,PostgreSQL,Other (please specify),No,Yes,Yes,Cloud Engineer,No,No
More than 5 years,Rust,Wireshark,MongoDB,Travis CI,Yes,Yes,Yes,Robotics Engineer,No,Yes
None,TypeScript,Electron,MySQL,Other (please specify),No,No,Yes,Database Administrator,No,Yes
1-3 years,Dart,React,MySQL,CircleCI,Yes,No,No,Data Scientist,No,No
More than 5 years,Java,Burp Suite,Redis,Terraform,No,No,No,Robotics Engineer,Yes,No
Less than 1 year,C#,Metasploit,PostgreSQL,Azure,No,No,Yes,DevOps Engineer,No,No
Less than 1 year,None,Flask,CassandraDB,Nginx,No,Yes,No,Robotics Engineer,Yes,No
Less than 1 year,C++,Wireshark,MySQL,Google Cloud Platform,Yes,No,No,Full-Stack Developer,Yes,No
More than 5 years,C++,Vue.js,Microsoft SQL Server,AWS,No,Yes,No,Mobile Developer,No,No
None,C#,Xamarin,CassandraDB,GitLab CI/CD,No,Yes,No,Game Developer,Yes,Yes
None,JavaScript,Godot,CassandraDB,Azure,Yes,No,No,Cloud Engineer,Yes,No
1-3 years,PHP,Angular,OracleDB,AWS,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
Less than 1 year,Rust,React,CassandraDB,Travis CI,Yes,No,Yes,Robotics Engineer,Yes,No
More than 5 years,Ruby,Snort,Other (please specify),Other (please specify),No,Yes,No,Machine Learning Engineer,Yes,No
Less than 1 year,Ruby,React Native,MySQL,Kubernetes,No,Yes,No,IT Support Specialist,No,Yes
More than 5 years,Dart,OpenVAS,Redis,Travis CI,No,Yes,No,Machine Learning Engineer,Yes,Yes
Less than 1 year,Go,Ruby on Rails,SQLite,Google Cloud Platform,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
1-3 years,C++,WPF,OracleDB,GitLab CI/CD,Yes,No,No,DevOps Engineer,No,Yes
More than 5 years,Swift,Numpy,MySQL,Apache,No,Yes,No,Machine Learning Engineer,Yes,Yes
More than 5 years,None,React,Redis,Kubernetes,Yes,No,Yes,Game Developer,Yes,Yes
Less than 1 year,C++,Qt,Redis,Kubernetes,Yes,No,Yes,Full-Stack Developer,Yes,No
None,Ruby,Kali Linux,PostgreSQL,Google Cloud Platform,Yes,Yes,No,Database Administrator,Yes,No
None,Java,OpenVAS,Microsoft SQL Server,GitLab CI/CD,Yes,No,No,Other (please specify),Yes,Yes
1-3 years,JavaScript,Flask,SQLite,Other (please specify),Yes,Yes,No,AI Researcher,Yes,No
Less than 1 year,Dart,Dask,Microsoft SQL Server,Travis CI,Yes,No,Yes,Back-End Developer,No,No
Less than 1 year,Rust,Keras,Redis,GitLab CI/CD,Yes,No,Yes,Cloud Engineer,No,Yes
More than 5 years,Other (please specify),Svelte,Other (please specify),Jenkins,Yes,No,Yes,Data Engineer,Yes,Yes
3-5 years,Kotlin,React Native,MongoDB,Google Cloud Platform,Yes,No,Yes,Software Engineer,Yes,No
1-3 years,Swift,Qt,Microsoft SQL Server,Docker,Yes,Yes,No,Database Administrator,Yes,Yes
3-5 years,JavaScript,Ruby on Rails,CassandraDB,Azure,No,No,Yes,Database Administrator,No,No
3-5 years,C#,Express.js,CassandraDB,AWS,No,No,No,IT Support Specialist,No,Yes
Less than 1 year,C#,Godot,OracleDB,Other (please specify),Yes,No,No,Robotics Engineer,No,No
1-3 years,Swift,Dask,OracleDB,Azure,Yes,No,No,Machine Learning Engineer,No,No
3-5 years,Dart,PyTorch,Other (please specify),AWS,Yes,Yes,No,Database Administrator,No,No
More than 5 years,Other (please specify),Keras,MySQL,Other (please specify),Yes,Yes,Yes,Network Engineer,No,Yes
More than 5 years,JavaScript,Next.js,PostgreSQL,Kubernetes,Yes,Yes,No,Database Administrator,No,Yes
1-3 years,PHP,Angular,Microsoft SQL Server,AWS,No,No,No,IT Support Specialist,Yes,Yes
